1-2,1,a
2-3,1,a
3-4,2,a
4-5,1,a
5-6,2,a
6-7,2,a
7-8,2,a
8-9,3,a
9-10,2,a
10-11,2,a
11-12,1,a
12-13,2,a
13-14,1,a
14-15,2,a
15-16,2,a
16-17,4,a
17-18,1,a
18-19,1,a
19-20,3,a
20-21,2,b
21-22,2,b
22-23,3,b
20-24,3,c
24-25,1,c
25-26,3,c
